basisOfRecord,date_year,decimalLatitude,decimalLongitude,eventDate,individualCount,scientificName,id,especie_normalizada,decada,traffic_at_point,traffic_buffer_mean
HumanObservation,2023,65.542569,-13.755936,2023-08-11T08:06:00+00:00,,Rissa tridactyla,d3ad42e2-4550-4cd3-a199-cef43fb875bc,Rissa tridactyla,2020,3972.853759765625,16.466697692871094
HumanObservation,2023,62.4031731994,5.4064788194,2023-07-24T23:42:00+02:00,,Fratercula arctica,d667bcf1-48fb-4210-a6d7-87e579fb8f07,Fratercula arctica,2020,2.273125171661377,5.453124523162842
HumanObservation,2023,66.075622,-19.253943,2023-06-11T11:56:00+00:00,,Rissa tridactyla,d6b28421-16a9-4ba1-b693-8f6a6c781244,Rissa tridactyla,2020,0.0,0.10196305811405182
HumanObservation,2023,64.7678833333,-23.6167666667,2023-06-02T13:17:51+00:00,,Rissa tridactyla,d6db2bb5-97b3-4d5c-8ec9-af44b3d44b83,Rissa tridactyla,2020,10.351204872131348,9.029241561889648
HumanObservation,2023,59.8561966667,-1.273005,2023-06-30T10:47:48+01:00,,Fratercula arctica,d78b46ac-9e4b-44e3-bb93-a881ffbdbd9b,Fratercula arctica,2020,0.6041481494903564,1.852075219154358
HumanObservation,2023,65.3801301365,-22.9531115223,2023-06-22T12:39:00+00:00,,Fratercula arctica,d79c02e3-66e6-4cc5-bb05-74452e0f45ba,Fratercula arctica,2020,3.5487515926361084,1.339805006980896
HumanObservation,2023,59.8546447754,-1.2743498087,2023-07-03T11:34:56+01:00,,Fratercula arctica,daa9fd57-c423-4459-9a79-e230fbfa5737,Fratercula arctica,2020,0.6041481494903564,1.8420878648757935
HumanObservation,2023,64.9169580292,-23.887454279,2023-05-31T14:51:00+00:00,,Fratercula arctica,db2fd7b3-5fac-4378-afbc-6dfbdb79c642,Fratercula arctica,2020,8.467702865600586,90.24359893798828
HumanObservation,2023,58.6454565977,-3.5242550508,2023-08-16T05:47:00+01:00,,Fratercula arctica,db52a650-1f5e-466d-9fc6-570ff7a40bf2,Fratercula arctica,2020,7.340718746185303,11.83198356628418
HumanObservation,2023,67.8635091505,12.9126805567,2023-07-15T14:18:56+02:00,,Rissa tridactyla,dbe1d497-69ec-4b81-93b6-ed3d1ea136bb,Rissa tridactyla,2020,0.0,61.87015914916992
HumanObservation,2023,63.4479716667,-20.2645783333,2023-06-13T04:51:00+00:00,,Fratercula arctica,dc2fee46-26c8-4e07-a161-412775c90649,Fratercula arctica,2020,13177.1298828125,50.4283332824707
HumanObservation,2023,65.5420916667,-13.75452,2023-05-19T12:36:29+00:00,,Fratercula arctica,dc3a65aa-5a0e-4cb2-9ed9-44a2f8d9f074,Fratercula arctica,2020,3972.853759765625,16.466697692871094
HumanObservation,2023,65.542084,-13.754628,2023-07-01T05:02:00+00:00,,Fratercula arctica,dcd79fa8-392e-46ff-ac3c-f6651cb1097c,Fratercula arctica,2020,3972.853759765625,16.466697692871094
HumanObservation,2023,64.7350579262,-23.7742367014,2023-06-10T18:28:52+00:00,,Rissa tridactyla,dd373e1a-c708-4475-ae3f-8e32519d4bf4,Rissa tridactyla,2020,0.025411320850253105,7.502353668212891
HumanObservation,2023,66.5378322217,-18.0108411117,2023-07-20T13:20:00+00:00,,Fratercula arctica,de60a2a3-b586-4fbb-87e8-b0c75c03fc08,Fratercula arctica,2020,0.6121894121170044,14.761794090270996
HumanObservation,2023,64.886575555,-24.042851945,2023-07-14T13:11:00+00:00,,Rissa tridactyla,df0104a9-41a8-48a0-bbbb-733537a2a283,Rissa tridactyla,2020,10.41545295715332,2.785814046859741
HumanObservation,2023,66.159263,-17.575006,2023-04-20T12:00,1.0,Balaenoptera musculus,df15ab64-fa25-4a51-b7bc-d38f4e2f2ee6,Balaenoptera musculus,2020,0.3835325241088867,2.1238152980804443
HumanObservation,2023,63.4089017817,-19.0523328503,2023-07-15T17:15:00+00:00,,Fratercula arctica,df367c0d-8b31-43a7-a321-64abcf454b77,Fratercula arctica,2020,0.0,0.8719479441642761
HumanObservation,2023,67.9267300968,13.1557279183,2023-05-27T19:39:00+02:00,,Rissa tridactyla,df73c9e7-0da0-4c12-9677-852105e18d40,Rissa tridactyla,2020,6.623655319213867,74.44471740722656
HumanObservation,2023,66.5368783333,-18.0093163883,2023-07-20T13:24:00+00:00,,Fratercula arctica,df89edb1-6c8f-4bf1-a8e7-6dae9ddf67aa,Fratercula arctica,2020,1.5105878114700317,14.761794090270996
HumanObservation,2023,63.3162761044,-9.0369255525,2023-10-03T17:56:00-01:00,,Rissa tridactyla,e01229a5-16e9-4fac-bdf4-5a1eb4169be2,Rissa tridactyla,2020,0.007920381613075733,0.018337683752179146
HumanObservation,2023,64.8642133333,-24.0396036117,2023-07-14T14:36:00+00:00,,Rissa tridactyla,e0345cc3-773c-4c9b-a614-7a4ef698d8c7,Rissa tridactyla,2020,0.48489275574684143,2.7154572010040283
HumanObservation,2023,63.40453,-20.2858583333,2023-08-01T00:35:24+00:00,,Fratercula arctica,e09f3b8e-e032-4f7a-b3e2-21e1e0553159,Fratercula arctica,2020,1.1813567876815796,49.52362823486328
HumanObservation,2023,63.4390836291,-20.3026086751,2023-07-24T19:49:00+00:00,,Fratercula arctica,e15d81e2-165d-411d-bf9a-9272a71d3e0d,Fratercula arctica,2020,5.957663536071777,49.8538932800293
HumanObservation,2023,63.4045459631,-19.1025122871,2023-07-31T18:06:00+00:00,,Fratercula arctica,e1802ad6-627f-4338-aa81-e12927fbbdb0,Fratercula arctica,2020,0.0063093360513448715,0.9070271253585815
HumanObservation,2023,64.6573793657,-22.2752496334,2023-07-26T19:36:00+00:00,,Fratercula arctica,e317065b-575d-4e9b-bf52-2a26581906bd,Fratercula arctica,2020,,0.0213029645383358
HumanObservation,2023,59.8554897822,-1.2736445031,2023-06-16T15:19:00+01:00,,Fratercula arctica,e32235b4-2da5-42cf-88a0-c4cd308ee870,Fratercula arctica,2020,0.6041481494903564,1.8420878648757935
HumanObservation,2023,62.1036628038,-7.5359319954,2023-07-03T15:54:00+01:00,,Rissa tridactyla,e3f65e9d-47b6-45b0-9561-c238fcbe1bdb,Rissa tridactyla,2020,0.23421624302864075,4.562087059020996
HumanObservation,2023,65.3984536704,-22.9786844286,2023-06-22T12:51:00+00:00,,Fratercula arctica,e43c1a36-690f-4168-8a4d-30994685bf78,Fratercula arctica,2020,1.4997260570526123,1.3938751220703125
HumanObservation,2023,58.6599555556,-3.5126138889,2023-09-05T08:48:00+01:00,,Fratercula arctica,e43fb087-010e-4a9f-9a94-4bbfb43a4c0e,Fratercula arctica,2020,6.94868803024292,10.703522682189941
HumanObservation,2023,64.0704486707,-16.1934261623,2023-06-06T21:09:00+00:00,,Rissa tridactyla,e59a2936-2732-4489-be3b-ebd6a0bd9730,Rissa tridactyla,2020,,0.18465556204319
